total population
41760600

total death averted
-2.91038304567e-11

outcome_id,name,b_mortality_sum_db,c_mortality_sum
,I60-I69: Cerebrovascular diseases,45219,45219.000000000029
,I20-I25: Ischaemic heart diseases,76806,76806.0
,"C00-C14: Lip, oral cavity and pharynx",1572,1572.0
,C15: Oesophagus ,6068,6068.0
,C16: Stomach,4220,4220.0
,C34: Bronchus and lung ,27403,27402.999999999996
,C25: Pancreas,6195,6195.0
,C18-20: Colorectum,12876,12875.999999999996
,C50: Breast,10302,10302.0
,C54.1: Endometrium  ,951,951.0000000000002
,C23: Gallbladder,369,369.0
,C64: Kidney,2875,2875.0
,I10-I15: Hypertensive disease,3742,3742.0
,"E11,E14: Diabetes",4831,4830.999999999998
,C67: Bladder cancer,4174,4174.0
,C22: Liver cancer,2486,2486.0
,C53: Cervix cancer,769,769.0
,J40-J44: Chronic obstructive pulmonary disease,21809,21809.0
,"K70, K74: Liver disease",5783,5783.000000000001
,I50: Heart failure,7646,7646.000000000001
,I71: Aortic aneurysm,7399,7399.0
,I26: Pulmonary embolism,2992,2992.0000000000005
,I05-09: Rheumatic heart disease,966,965.9999999999999
,N18: Chronic renal failure,1390,1390.0000000000002

age_group_id,age_group,b_mortality_sum_db,c_mortality_sum
,15-19,26,25.999999999999993
,20-24,37,37.0
,25-29,106,106.0
,30-34,290,290.0
,35-39,631,631.00000000000034
,40-44,1370,1370.0000000000009
,45-49,2434,2433.9999999999986
,50-54,3972,3972.0000000000009
,55-59,6854,6854.0000000000018
,60-64,9479,9479.0000000000018
,65-69,12597,12597.0
,70-74,16973,16972.999999999993
,75-79,22539,22538.999999999996
,80-84,24242,24241.999999999989
,85+,27236,27236.0
,15-19,17,17.000000000000007
,20-24,30,30.000000000000007
,25-29,104,104.00000000000001
,30-34,211,210.99999999999997
,35-39,582,582.0
,40-44,1083,1082.9999999999998
,45-49,1732,1732.0
,50-54,2588,2588.0000000000005
,55-59,4386,4386.0000000000009
,60-64,5756,5755.9999999999982
,65-69,7963,7962.9999999999991
,70-74,11928,11928.000000000004
,75-79,18682,18682.0
,80-84,25492,25491.999999999993
,85+,49503,49503.000000000044

gender,b_mortality_sum_db,c_mortality_sum
male,128786,128776.99999999999
female,130057,130057.00000000004

