total population
41760600

total death averted
-91758.7084421

outcome_id,name,b_mortality_sum_db,c_mortality_sum
,I60-I69: Cerebrovascular diseases,45219,59791.7338564561
,I20-I25: Ischaemic heart diseases,76806,119138.5519770484
,"C00-C14: Lip, oral cavity and pharynx",1572,1572.0
,C15: Oesophagus ,6068,6068.0
,C16: Stomach,4220,4089.3057239427426
,C34: Bronchus and lung ,27403,26554.32340123293
,C25: Pancreas,6195,7389.36816974675
,C18-20: Colorectum,12876,16920.95256674082
,C50: Breast,10302,10702.26045515268
,C54.1: Endometrium  ,951,2235.4791636734544
,C23: Gallbladder,369,550.5444735596159
,C64: Kidney,2875,4715.492646725101
,I10-I15: Hypertensive disease,3742,10523.985677040218
,"E11,E14: Diabetes",4831,12827.2132366756
,C67: Bladder cancer,4174,4174.0
,C22: Liver cancer,2486,2486.0
,C53: Cervix cancer,769,769.0
,J40-J44: Chronic obstructive pulmonary disease,21809,21809.0
,"K70, K74: Liver disease",5783,8851.939656255478
,I50: Heart failure,7646,15432.380597327021
,I71: Aortic aneurysm,7399,7399.0
,I26: Pulmonary embolism,2992,2992.0000000000005
,I05-09: Rheumatic heart disease,966,965.9999999999999
,N18: Chronic renal failure,1390,2643.176840555948

age_group_id,age_group,b_mortality_sum_db,c_mortality_sum
,15-19,26,33.728259547931152
,20-24,37,52.580832576086749
,25-29,106,151.24287634008749
,30-34,290,405.24788880648214
,35-39,631,914.75300147259816
,40-44,1370,1963.5450065534826
,45-49,2434,3430.2070381198828
,50-54,3972,5487.4747982447452
,55-59,6854,9230.6797185408832
,60-64,9479,12533.783145712525
,65-69,12597,16574.503403106122
,70-74,16973,22444.471564535841
,75-79,22539,29969.601371330107
,80-84,24242,32750.913358066307
,85+,27236,38028.38393242898
,15-19,17,26.86372258164748
,20-24,30,40.938893749080407
,25-29,104,140.48331791764355
,30-34,211,266.72962984768708
,35-39,582,698.95133275354249
,40-44,1083,1310.0896970568174
,45-49,1732,2048.6881793269677
,50-54,2588,3053.599163236936
,55-59,4386,5139.8636713382784
,60-64,5756,7275.015310976165
,65-69,7963,10151.343228616506
,70-74,11928,15518.491574979682
,75-79,18682,24678.094738232241
,80-84,25492,34762.839964406558
,85+,49503,71518.59982173107

gender,b_mortality_sum_db,c_mortality_sum
male,128786,173964.2516584158
female,130057,176630.59224675078

